Date,Open Order,Project Code,Project Name,Inch,Thickness,Weight,Total Order Bars,Total Order Weight (kg),Support Item,Final Quantity (Total Requests for Support Items in Field Operations)
2024-01-01,ORD-00102,PRJ-0006,Industrial Plant Construction,24 inches,7.9 mm,0.03 tons,9,261,Drill Bits,53
2024-01-02,ORD-00111,PRJ-0005,Irrigation System,4 inches,6.0 mm,0.05 tons,5,95,Cutting Blade,13
2024-01-02,ORD-00195,PRJ-0005,Irrigation System,24 inches,34.0 mm,0.04 tons,17,408,Hydraulic Oil,42
2024-01-03,ORD-00130,PRJ-0001,Oil & Gas Exploration,2 inches,17.5 mm,0.04 tons,13,637,Drill Bits,50
2024-01-03,ORD-00338,PRJ-0010,Energy Plant Retrofit,24 inches,12.0 mm,0.03 tons,1,21,Welding Rod,15
2024-01-03,ORD-00245,PRJ-0010,Energy Plant Retrofit,2 inches,7.9 mm,0.05 tons,17,170,Electrical Wires,58
2024-01-03,ORD-00068,PRJ-0005,Irrigation System,6 inches,1.3 mm,0.04 tons,18,630,Safety Gloves,20
2024-01-05,ORD-00162,PRJ-0005,Irrigation System,8 inches,34.0 mm,0.05 tons,10,150,Coolant,11
2024-01-05,ORD-00139,PRJ-0010,Energy Plant Retrofit,2 inches,6.0 mm,0.02 tons,19,228,Hydraulic Oil,71
2024-01-07,ORD-00114,PRJ-0008,Building Construction,8 inches,25.0 mm,0.03 tons,2,46,Drill Bits,77
2024-01-08,ORD-00215,PRJ-0005,Irrigation System,1/2 inch,1.3 mm,0.01 tons,2,84,Welding Rod,60
2024-01-08,ORD-00011,PRJ-0007,Water Distribution Network,10 inches,7.9 mm,0.01 tons,13,130,Clamps,24
2024-01-08,ORD-00356,PRJ-0005,Irrigation System,6 inches,17.5 mm,0.02 tons,11,297,Coolant,74
2024-01-08,ORD-00061,PRJ-0010,Energy Plant Retrofit,4 inches,6.0 mm,0.05 tons,4,140,Cutting Blade,79
2024-01-09,ORD-00201,PRJ-0008,Building Construction,6 inches,1.3 mm,0.01 tons,6,288,Machine Bearings,66
2024-01-10,ORD-00039,PRJ-0007,Water Distribution Network,2 inches,6.0 mm,0.03 tons,11,506,Replacement Belts,45
2024-01-10,ORD-00249,PRJ-0007,Water Distribution Network,10 inches,17.5 mm,0.02 tons,10,450,Hydraulic Oil,34
2024-01-11,ORD-00078,PRJ-0005,Irrigation System,8 inches,12.0 mm,0.01 tons,5,55,Lubricant Spray,66
2024-01-11,ORD-00052,PRJ-0004,Marine Pipeline Project,24 inches,1.3 mm,0.04 tons,9,351,Measuring Tape,30
2024-01-11,ORD-00268,PRJ-0006,Industrial Plant Construction,8 inches,6.0 mm,0.05 tons,7,105,Clamps,40
2024-01-11,ORD-00101,PRJ-0007,Water Distribution Network,8 inches,1.3 mm,0.05 tons,8,256,Coolant,84
2024-01-11,ORD-00083,PRJ-0010,Energy Plant Retrofit,8 inches,34.0 mm,0.02 tons,2,32,Lubricant Spray,69
2024-01-12,ORD-00235,PRJ-0007,Water Distribution Network,6 inches,7.9 mm,0.02 tons,11,176,Grinding Wheel,14
2024-01-14,ORD-00140,PRJ-0007,Water Distribution Network,12 inches,25.0 mm,0.05 tons,13,195,Hydraulic Oil,12
2024-01-14,ORD-00008,PRJ-0002,Pipeline Installation,12 inches,34.0 mm,0.02 tons,5,170,Cutting Blade,74
2024-01-14,ORD-00334,PRJ-0002,Pipeline Installation,12 inches,12.0 mm,0.01 tons,13,442,Grinding Wheel,95
2024-01-14,ORD-00337,PRJ-0007,Water Distribution Network,12 inches,1.3 mm,0.01 tons,8,384,Pipe Coating Material,14
2024-01-15,ORD-00353,PRJ-0009,Infrastructure Development,24 inches,34.0 mm,0.01 tons,17,425,Drill Bits,75
2024-01-15,ORD-00261,PRJ-0008,Building Construction,2 inches,1.3 mm,0.05 tons,14,378,Clamps,94
2024-01-16,ORD-00077,PRJ-0010,Energy Plant Retrofit,2 inches,1.3 mm,0.03 tons,12,564,Grease Cartridge,65
2024-01-17,ORD-00172,PRJ-0008,Building Construction,10 inches,25.0 mm,0.01 tons,12,540,Safety Gloves,60
2024-01-17,ORD-00085,PRJ-0007,Water Distribution Network,4 inches,12.0 mm,0.03 tons,7,273,Electrical Wires,19
2024-01-17,ORD-00322,PRJ-0007,Water Distribution Network,1 inch,7.9 mm,0.02 tons,14,686,Electrical Wires,14
2024-01-18,ORD-00349,PRJ-0010,Energy Plant Retrofit,1/2 inch,6.0 mm,0.02 tons,19,285,Welding Rod,22
2024-01-18,ORD-00114,PRJ-0008,Building Construction,1 inch,6.0 mm,0.03 tons,2,46,Drill Bits,77
2024-01-19,ORD-00163,PRJ-0005,Irrigation System,1 inch,17.5 mm,0.01 tons,5,80,Grinding Wheel,49
2024-01-19,ORD-00017,PRJ-0008,Building Construction,2 inches,34.0 mm,0.02 tons,13,390,Safety Goggles,67
2024-01-20,ORD-00262,PRJ-0006,Industrial Plant Construction,10 inches,7.9 mm,0.02 tons,8,296,Coolant,85
